session_id,n_speakers_with_cdp,n_speakers_total,speaker_participation_cdp,total_cdp_score1,total_cdp_score2,gini_score1,gini_score2,conference,any_funded,funded_rate
2021_05_21_ABI_S9,7,18,0.3888888888888889,27,10,0.4232804232804232,0.3333333333333335,2021ABI,0.0,0.0
2021_05_21_ABI_S8,7,12,0.5833333333333334,18,6,0.3809523809523809,0.3333333333333332,2021ABI,0.0,0.0
2021_05_21_ABI_S4,6,12,0.5,23,4,0.5289855072463767,0.25,2021ABI,0.0,0.0
2021_05_21_ABI_S3,6,10,0.6,25,9,0.4066666666666665,0.2222222222222223,2021ABI,0.0,0.0
2021_05_20_ABI_S8,18,43,0.4186046511627907,38,12,0.411764705882353,0.25,2021ABI,0.0,0.0
2021_10_01_MZT_S8,4,10,0.4,25,6,0.31,0.2222222222222223,2021MZT,0.0,0.0
2021_05_20_ABI_S5,7,12,0.5833333333333334,29,10,0.226600985221675,0.1,2021ABI,0.0,0.0
2021_05_20_ABI_S2,8,11,0.7272727272727273,35,13,0.4178571428571429,0.346153846153846,2021ABI,0.0,0.0
2020_11_06_NES_S8,5,14,0.3571428571428571,16,14,0.15625,0.3571428571428572,2020NES,0.0,0.0
2020_11_06_NES_S7,3,12,0.25,11,6,0.3030303030303032,0.2222222222222223,2020NES,0.0,0.0
2020_11_06_NES_S4,2,13,0.1538461538461538,4,4,0.0,0.25,2020NES,0.0,0.0
2020_11_06_NES_S2,5,15,0.3333333333333333,11,10,0.3409090909090908,0.1,2020NES,0.0,0.0
2020_11_05_NES_S6,2,9,0.2222222222222222,0,3,,0.1666666666666667,2020NES,0.0,0.0
2021_10_08_CMC_S6,5,14,0.3571428571428571,22,15,0.4909090909090909,0.2833333333333334,2021CMC,0.0,0.0
2021_10_08_CMC_S7,4,12,0.3333333333333333,21,8,0.4642857142857142,0.0,2021CMC,0.0,0.0
2021_10_08_CMC_S8,7,12,0.5833333333333334,21,12,0.3412698412698411,0.3333333333333332,2021CMC,0.0,0.0
2021_10_08_CMC_S9,8,11,0.7272727272727273,19,9,0.4360902255639098,0.3611111111111111,2021CMC,0.0,0.0
2021_10_01_MZT_S2,6,11,0.5454545454545454,20,9,0.575,0.3703703703703704,2021MZT,0.0,0.0
2021_10_01_MZT_S1,8,11,0.7272727272727273,18,7,0.3055555555555556,0.3214285714285714,2021MZT,0.0,0.0
