n_bins,mean_entropy,purity_ratio,mixed_ratio,mean_jump,max_jump,n_transitions,entropy_trend,session_id,any_funded,funded_rate
6,0.7648723825763101,0.16666666666666666,0.8333333333333334,0.4688243595242657,0.9709505944546686,2,-0.41802749104469494,2021_11_05_NES_S11,1.0,1.0
8,0.8006010277034856,0.125,0.875,0.3741205201169426,1.0,2,0.0041540496594841825,2021_11_05_NES_S12,,
7,0.7598665192900464,0.14285714285714285,0.8571428571428571,0.4443604168339877,1.0,3,-0.06478593738391958,2021_11_05_NES_S2,0.0,0.0
11,0.41800562006983316,0.45454545454545453,0.5454545454545454,0.33329056901369813,0.8112781244591328,4,0.6196216312986296,2021_11_05_NES_S3,0.0,0.0
12,0.5297868718095602,0.4166666666666667,0.5833333333333334,0.5371741823500817,1.0,6,-0.23511025058172502,2021_11_05_NES_S4,1.0,1.0
12,0.7939837182096726,0.08333333333333333,0.9166666666666666,0.21784117659094582,0.6500224216483541,3,-0.29194001376048906,2021_11_05_NES_S5,1.0,0.6666666666666666
11,0.5046445512215215,0.36363636363636365,0.5454545454545454,0.4200235606643192,0.9182958340544896,5,-0.028020050730660273,2021_11_05_NES_S6,1.0,0.25
8,0.5933472049989376,0.25,0.625,0.4278936046416468,1.0,3,0.2833535735566912,2021_11_05_NES_S7,0.0,0.0
6,0.7817402454812482,0.16666666666666666,0.8333333333333334,0.43349212622409167,1.0,2,-0.4677769853620105,2021_11_05_NES_S8,,
7,0.6311018258353986,0.2857142857142857,0.7142857142857143,0.5,1.0,3,-0.20398051595879163,2021_11_05_NES_S9,0.0,0.0
6,0.35153658708852226,0.5,0.5,0.6055030713171246,0.9182958340544896,4,0.12646625064904055,2022_04_07_MND_S1,1.0,0.3333333333333333
6,0.38530928106458817,0.5,0.5,0.30011551238567924,0.8112781244591328,2,-0.5894183366408592,2022_04_07_MND_S2,0.0,0.0
4,0.39626216586349833,0.5,0.5,0.8160564106735414,0.863120568566631,3,-0.2903678106040468,2022_04_07_MND_S3,,
5,0.3895937060996787,0.4,0.6,0.5907515074443094,0.9182958340544896,4,-0.0672664446410135,2022_04_07_MND_S4,1.0,0.5
6,0.7804167234271849,0.16666666666666666,0.8333333333333334,0.46349993188737804,1.0,2,-0.07704566377293465,2022_04_07_MND_S5,1.0,0.5
6,0.5569542384281226,0.3333333333333333,0.6666666666666666,0.6702306517546591,1.0,4,0.7427192046678417,2022_04_07_MND_S6,1.0,0.5
8,0.5918833831496716,0.25,0.75,0.2783082222703574,1.0,2,-0.30757811873973495,2022_04_08_MND_S1,0.0,0.0
3,0.7931987933873255,0.0,1.0,0.13413670620306772,0.16125570281077872,0,0.26827341240613545,2022_04_08_MND_S10,,
6,0.5269838811856209,0.3333333333333333,0.5,0.554131944696894,0.934068055375491,4,-0.2714122458731177,2022_04_08_MND_S11,0.0,0.0
1,0.9182958340544896,0.0,1.0,0.0,0.0,0,0.0,2022_04_08_MND_S12,,
8,0.4021123887453525,0.375,0.625,0.46789267900412096,0.7918583525674836,5,0.017969223793152078,2022_04_08_MND_S2,,
6,0.4095206871713604,0.5,0.5,0.4,0.8112781244591328,3,0.4056390622295664,2022_04_08_MND_S3,,
4,0.6234446162555607,0.25,0.75,0.56083344685437,0.8112781244591328,2,0.10058247274819099,2022_04_08_MND_S4,0.0,0.0
6,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6,1.0,3,-0.5,2022_04_08_MND_S5,1.0,0.3333333333333333
1,1.0,0.0,1.0,0.0,0.0,0,0.0,2022_04_08_MND_S6,,
6,0.6332238609889246,0.16666666666666666,0.6666666666666666,0.5159414061650827,1.0,3,0.3584055976891639,2022_04_08_MND_S7,1.0,1.0
7,0.47182604466874606,0.42857142857142855,0.5714285714285714,0.4295656191970753,0.9182958340544896,4,0.33568090918166615,2022_04_08_MND_S8,0.0,0.0
6,0.4053751900936926,0.5,0.5,0.42063137834402314,0.9709505944546686,3,0.40484744582194493,2022_04_08_MND_S9,,
3,0.9098579861712075,0.0,1.0,0.14786979256811195,0.18872187554086717,0,0.08170416594551044,output-2021-05-20-ABI-S1,,
