session_id,entropy_index_beginning,entropy_time_beginning,n_cdp_index_beginning,n_cdp_time_beginning,entropy_diff_beginning,entropy_index_middle,entropy_time_middle,n_cdp_index_middle,n_cdp_time_middle,entropy_diff_middle,entropy_index_end,entropy_time_end,n_cdp_index_end,n_cdp_time_end,entropy_diff_end,conference
2021_11_05_NES_S4,0.9182958340544896,0.904381457724494,24,25,-0.013914376329995592,0.961236604722876,0.9876925088958034,13,23,0.026455904172927425,0.8904916402194913,0.8112781244591328,39,28,-0.07921351576035851,2021NES
2021_11_05_NES_S5,0.7751453926953418,0.7695756163983515,21,22,-0.005569776296990292,0.8175195311866703,0.7777220320701351,13,18,-0.039797499116535184,0.8960382325345575,0.8403586716091171,32,26,-0.05567956092544035,2021NES
2021_11_05_NES_S6,0.9081783472997051,0.9081783472997051,34,34,0.0,0.5032583347756457,0.6500224216483541,9,12,0.14676408687270837,0.7871265862012691,0.7706290693639405,34,31,-0.016497516837328585,2021NES
2021_11_05_NES_S7,0.6254181156238111,0.7298466991620974,13,10,0.10442858353828632,0.8080141510844467,0.5816718657178866,12,10,-0.2263422853665601,0.4953754914506918,0.555102459219853,39,44,0.0597269677691612,2021NES
2021_11_05_NES_S8,0.9182958340544896,0.9383153522334069,24,31,0.02001951817891734,0.9544340029249649,1.0,8,2,0.04556599707503506,0.8453509366224365,0.7219280948873623,11,10,-0.12342284173507423,2021NES
2021_11_05_NES_S9,0.9819407868640977,0.9819407868640977,19,19,0.0,0.7298466991620974,0.6695919455357793,10,8,-0.06025475362631816,0.9456603046006402,0.9544340029249649,22,24,0.00877369832432473,2021NES
2021_06_10_SLU_S1,0.7282023343901066,0.7282023343901066,27,27,0.0,0.9182958340544896,1.0,3,2,0.08170416594551044,0.8997437586982626,0.934068055375491,19,20,0.03432429667722836,2021SLU
2021_06_10_SLU_S2,0.6500224216483541,0.6500224216483541,12,12,0.0,1.0,1.0,2,2,0.0,0.7534397398762206,0.7534397398762206,18,18,0.0,2021SLU
2021_06_10_SLU_S3,0.7038148177476575,0.7038148177476575,21,21,0.0,0.9940302114769565,0.9940302114769565,11,11,0.0,0.8739810481273578,0.8739810481273578,17,17,0.0,2021SLU
2021_06_10_SLU_S4,0.840978105283863,0.840978105283863,28,28,0.0,1.0,1.0,2,2,0.0,0.8904916402194913,0.8904916402194913,13,13,0.0,2021SLU
2021_06_10_SLU_S5,0.6051854972393866,0.6307404425754963,28,29,0.02555494533610969,0.9182958340544896,1.0,3,2,0.08170416594551044,0.8524051786494786,0.8524051786494786,18,18,0.0,2021SLU
2021_06_10_SLU_S6,0.9798687566511527,0.9798687566511527,12,12,0.0,0.8112781244591328,0.9182958340544896,4,3,0.10701770959535672,0.5916727785823275,0.5665095065529053,14,15,-0.025163272029422146,2021SLU
2021_06_10_SLU_S7,0.754857573379366,0.7282023343901066,24,27,-0.026655238989259367,0.6500224216483541,0.9182958340544896,6,6,0.26827341240613545,0.9544340029249649,0.961236604722876,16,13,0.006802601797911034,2021SLU
2021_06_11_SLU_S1,0.7732266742876346,0.7918583525674836,22,21,0.018631678279849018,0.9182958340544896,0.8112781244591328,3,4,-0.10701770959535672,0.7777220320701351,0.7777220320701351,18,18,0.0,2021SLU
2021_06_11_SLU_S10,0.9182958340544896,0.9182958340544896,18,18,0.0,0.0,,1,0,,0.9774178175281716,0.9640787648082292,17,18,-0.013339052719942401,2021SLU
