conference,session_id,n_meetings,similarity_method,n_chunks_sum,n_moves_sum,funded_rate,any_funded,n_teams,num_funded_teams,outcome_source,n_moves,weighted_ldi,mean_nonzero_weight,forelink_weight_mean,backlink_weight_mean,cross_speaker_weight_ratio,late_minus_early_backlink,forelink_entropy,backlink_entropy,horizon_entropy,overall_link_entropy
2021ABI,2021_05_21_ABI_S9,1,lsa,7.0,103.0,0.0,0.0,3.0,,entropy_with_outcomes,103.0,0.5842011414478954,0.1874539488134991,0.5842011414478954,0.5842011414478955,0.8128647087663405,0.5051416081435267,8.674809346314703,8.561914443380378,7.66335490724854,24.90007869694362
2021CMC,2021_10_07_CMC_S1,1,lsa,8.0,239.0,0.5,1.0,2.0,,entropy_with_outcomes,239.0,2.168536349394882,0.187104760832266,2.168536349394883,2.168536349394883,0.8070742381271445,3.383296061687351,31.8377756244326,29.18946615319328,31.352974406029382,92.38021618365526
2021CMC,2021_10_07_CMC_S2,1,lsa,8.0,147.0,1.0,1.0,1.0,,entropy_with_outcomes,147.0,1.3080861383705171,0.1778803536914579,1.308086138370517,1.308086138370517,0.7224209336423596,1.572572071630687,17.567668116184052,19.56616839203705,17.52917538974307,54.66301189796417
2021CMC,2021_10_07_CMC_S3,1,lsa,7.0,159.0,0.6666666666666666,1.0,3.0,,entropy_with_outcomes,159.0,0.8398439963328239,0.1662953865715056,0.8398439963328239,0.8398439963328241,0.7989634801178587,1.2776740038514116,12.517529670005418,11.122808928223495,12.240175011731967,35.880513609960886
2021CMC,2021_10_07_CMC_S4,1,lsa,7.0,173.0,1.0,1.0,1.0,,entropy_with_outcomes,173.0,1.2228756668102172,0.1933797900897327,1.2228756668102174,1.2228756668102172,0.7918030824236747,1.6143153125438015,17.698596102367084,17.945470928486255,17.858919040624425,53.50298607147776
2021CMC,2021_10_07_CMC_S5,1,lsa,8.0,189.0,0.5,1.0,2.0,,entropy_with_outcomes,189.0,1.1008974406553749,0.1991096806544171,1.1008974406553749,1.1008974406553749,0.8291567955383554,1.5003023471037864,16.332809059322802,15.68563740808154,14.575229077165321,46.59367554456967
2021CMC,2021_10_07_CMC_S6,1,lsa,8.0,133.0,,,,,unmatched,133.0,0.8153390994095431,0.1616096873643356,0.8153390994095432,0.8153390994095432,0.747907282859927,1.1516389007010823,11.513709297911074,11.298930557576702,12.944509217278684,35.75714907276646
2021CMC,2021_10_07_CMC_S7,1,lsa,8.0,208.0,,,,,unmatched,208.0,1.7660397280056428,0.2196987221442426,1.7660397280056428,1.766039728005643,0.7151120502005399,2.2532728029825253,24.23499570968161,23.4739474375038,22.227973648266357,69.93691679545176
2021CMC,2021_10_08_CMC_S1,1,lsa,8.0,204.0,0.6666666666666666,1.0,3.0,,entropy_with_outcomes,204.0,1.6658014978814315,0.1973423377281138,1.665801497881432,1.6658014978814315,0.7949532622001195,2.2319906338340108,24.11431561613778,22.62077683875616,22.639635998241168,69.3747284531351
2021CMC,2021_10_08_CMC_S10,1,lsa,8.0,227.0,,,,,unmatched,227.0,2.07183929805296,0.1805403150318702,2.0718392980529594,2.07183929805296,0.7928260622295263,2.432485257325397,28.917599111969736,28.53882123746253,27.430793546097128,84.88721389552938
2021CMC,2021_10_08_CMC_S11,1,lsa,8.0,181.0,0.0,0.0,1.0,,entropy_with_outcomes,181.0,1.7219783102796788,0.2087595942134104,1.7219783102796788,1.7219783102796788,0.6907653829645322,2.0817827380038265,23.42010710503579,22.51143296918697,21.91350699910764,67.84504707333039
2021CMC,2021_10_08_CMC_S12,1,lsa,8.0,174.0,0.0,0.0,1.0,,entropy_with_outcomes,174.0,1.0455160689051115,0.1739194990339287,1.0455160689051115,1.0455160689051115,0.7845263082998489,1.427619931613652,16.47683129315238,14.89666831062144,13.741490518930226,45.11499012270405
2021CMC,2021_10_08_CMC_S13,1,lsa,8.0,199.0,0.3333333333333333,1.0,3.0,,entropy_with_outcomes,199.0,1.5130285430275825,0.1855161306608064,1.5130285430275825,1.5130285430275818,0.8135664927380808,1.886485305189927,23.06729797343602,21.207656082389825,20.230103304881972,64.50505736070781
2021CMC,2021_10_08_CMC_S14,1,lsa,8.0,215.0,0.5,1.0,2.0,,entropy_with_outcomes,215.0,1.6218874473491678,0.2225308239821768,1.6218874473491678,1.6218874473491678,0.785734556825351,2.538136928514363,24.30892112639726,21.87951237289879,21.162129972026733,67.35056347132279
2021CMC,2021_10_08_CMC_S2,1,lsa,8.0,257.0,0.0,0.0,1.0,,entropy_with_outcomes,257.0,2.0856727548581455,0.216223436062341,2.0856727548581455,2.0856727548581455,0.7589278047167972,2.8674558460313406,28.163377745213815,28.417559206010115,26.42767504525868,83.00861199648261
