session_id,n_utterances,strict_conv_utt,structural_wrap_utt,strict_conv_time_sec,structural_wrap_time_sec,total_time_sec,strict_conv_rate,structural_wrap_rate,strict_conv_time_last_third_sec,structural_wrap_time_last_third_sec,last_third_time_sec,strict_conv_rate_last_third,structural_wrap_rate_last_third,conference
2021_04_23_MND_S7,202,0,24,0.0,701.0,3486.0,0.0,0.20109007458405048,0.0,77.0,989.0,0.0,0.07785642062689585,2021MND
2021_04_23_MND_S8,175,0,24,0.0,1103.0,3448.0,0.0,0.3198955916473318,0.0,283.0,1006.0,0.0,0.2813121272365805,2021MND
2021_04_23_MND_S9,180,0,17,0.0,361.0,3473.0,0.0,0.10394471638353009,0.0,151.0,1092.0,0.0,0.1382783882783883,2021MND
2021_09_30_MZT_S2,145,0,9,0.0,499.0,2386.0,0.0,0.20913663034367141,0.0,110.0,843.0,0.0,0.13048635824436536,2021MZT
2021_09_30_MZT_S3,123,0,20,0.0,623.0,2751.0,0.0,0.22646310432569974,0.0,162.0,907.0,0.0,0.17861080485115766,2021MZT
2021_09_30_MZT_S4,147,0,12,0.0,180.0,2099.0,0.0,0.0857551214864221,0.0,75.0,788.0,0.0,0.09517766497461928,2021MZT
2021_09_30_MZT_S5,130,0,18,0.0,614.0,2889.0,0.0,0.21253028729664245,0.0,235.0,890.0,0.0,0.2640449438202247,2021MZT
2021_09_30_MZT_S6,39,0,4,0.0,90.0,397.0,0.0,0.22670025188916876,0.0,0.0,40.0,0.0,0.0,2021MZT
2021_09_30_MZT_S7,425,1,27,7.0,1211.0,7563.0,0.0009255586407510248,0.16012164484992727,7.0,488.0,2233.0,0.003134796238244514,0.21854008060904612,2021MZT
2021_10_01_MZT_S1,201,0,5,0.0,64.0,3279.0,0.0,0.019518145776151265,0.0,38.0,1081.0,0.0,0.03515263644773358,2021MZT
2021_10_01_MZT_S11,132,0,9,0.0,574.0,3105.0,0.0,0.18486312399355878,0.0,83.0,1000.0,0.0,0.083,2021MZT
2021_10_01_MZT_S2,181,0,13,0.0,313.0,3249.0,0.0,0.09633733456448137,0.0,93.0,814.0,0.0,0.11425061425061425,2021MZT
2021_10_01_MZT_S3,249,1,25,169.0,1081.0,5030.0,0.03359840954274354,0.21491053677932406,169.0,205.0,1624.0,0.10406403940886699,0.12623152709359606,2021MZT
2021_10_01_MZT_S4,220,1,13,50.0,834.0,4384.0,0.011405109489051095,0.19023722627737227,50.0,376.0,1493.0,0.033489618218352314,0.25184192900200936,2021MZT
2021_10_01_MZT_S5,243,0,12,0.0,575.0,4594.0,0.0,0.12516325642141923,0.0,337.0,1390.0,0.0,0.24244604316546764,2021MZT
2021_10_01_MZT_S7,184,2,11,24.0,496.0,3338.0,0.007189934092270821,0.14859197124026363,0.0,122.0,1050.0,0.0,0.11619047619047619,2021MZT
2021_10_01_MZT_S8,180,0,15,0.0,491.0,3277.0,0.0,0.1498321635642356,0.0,40.0,1054.0,0.0,0.03795066413662239,2021MZT
2021_10_01_MZT_S9,197,0,22,0.0,760.0,2963.0,0.0,0.2564967937900776,0.0,190.0,1095.0,0.0,0.1735159817351598,2021MZT
2021_11_04_NES_S1,115,0,7,0.0,361.0,2496.0,0.0,0.14463141025641027,0.0,11.0,285.0,0.0,0.03859649122807018,2021NES
2021_11_04_NES_S2,174,0,12,0.0,198.0,2412.0,0.0,0.08208955223880597,0.0,67.0,727.0,0.0,0.0921595598349381,2021NES
2021_11_04_NES_S3,244,0,42,0.0,974.0,4147.0,0.0,0.2348685796961659,0.0,400.0,1406.0,0.0,0.2844950213371266,2021NES
2021_11_04_NES_S4,219,0,20,0.0,562.0,3506.0,0.0,0.16029663434112948,0.0,47.0,1126.0,0.0,0.041740674955595025,2021NES
2021_11_04_NES_S5,187,0,28,0.0,701.0,3877.0,0.0,0.18080990456538562,0.0,247.0,1123.0,0.0,0.21994657168299198,2021NES
2021_11_04_NES_S6,172,2,2,35.0,48.0,3206.0,0.010917030567685589,0.014971927635683094,35.0,0.0,688.0,0.050872093023255814,0.0,2021NES
2021_11_05_NES_S1,382,1,30,7.0,765.0,5092.0,0.0013747054202670856,0.1502356637863315,0.0,358.0,1365.0,0.0,0.2622710622710623,2021NES
2021_11_05_NES_S10,276,0,14,0.0,729.0,3834.0,0.0,0.19014084507042253,0.0,273.0,1224.0,0.0,0.22303921568627452,2021NES
2021_11_05_NES_S11,148,0,26,0.0,1188.0,3810.0,0.0,0.31181102362204727,0.0,417.0,1188.0,0.0,0.351010101010101,2021NES
