conference,session_id,meeting_id,n_chunks,n_moves,threshold,similarity_method,n_possible_links,n_nonzero_links,total_link_weight,weighted_ldi,mean_nonzero_weight,forelink_weight_mean,backlink_weight_mean,cross_speaker_weight_ratio,late_minus_early_backlink,forelink_entropy,backlink_entropy,horizon_entropy,overall_link_entropy
2021ABI,output_2021_05_21_ABI_S3,output_2021_05_21_ABI_S3__bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31,8,156.0,0.35,lsa,12090.0,818.0,150.96154047108823,0.9677021825069758,0.18454956047810298,0.967702182506976,0.9677021825069758,0.6880708281980872,1.5794814007857059,16.827614453585284,13.100254386877603,12.859070891392609,42.7869397318555
2021ABI,output_2021_05_21_ABI_S4,output_2021_05_21_ABI_S4__bot3p2_Zoom_Meeting_2021_05_21_10_58_18,8,155.0,0.35,lsa,11935.0,765.0,139.6848987969937,0.9011928954644756,0.18259463895031858,0.9011928954644756,0.9011928954644756,0.762349236134036,1.047818445379236,14.201315946759452,13.539926828512694,11.939509368704625,39.680752143976775
2021ABI,output_2021_05_21_ABI_S5,output_2021_05_21_ABI_S5__bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM,8,171.0,0.35,lsa,14535.0,1004.0,192.32153305454085,1.1246873278043326,0.1915553118073116,1.1246873278043326,1.1246873278043326,0.7139878869380557,1.6051299938539074,16.417080102904134,15.984853958587149,16.241276283802723,48.64321034529401
2021ABI,output_2021_05_21_ABI_S6,output_2021_05_21_ABI_S6__bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51,8,141.0,0.35,lsa,9870.0,850.0,139.93237125162273,0.9924281649051258,0.16462631911955614,0.9924281649051259,0.9924281649051258,0.8093317990720977,1.3569609171474848,15.045468563823238,14.269857810414,14.016007724400248,43.331334098637484
2021ABI,output_2021_05_21_ABI_S7,output_2021_05_21_ABI_S7__botB1_2021_05_21_10_58_58,8,112.0,0.35,lsa,6216.0,388.0,69.8919131562002,0.6240349388946447,0.18013379679433042,0.6240349388946447,0.6240349388946448,0.7920404755996279,0.8400853427061025,9.423818638808465,9.08826380967673,9.138162613971886,27.65024506245708
2021ABI,output_2021_05_21_ABI_S8,output_2021_05_21_ABI_S8__botB3_2021_05_21_10_58_38,8,166.0,0.35,lsa,13695.0,966.0,168.63126517502656,1.0158509950302805,0.17456652709630077,1.0158509950302805,1.0158509950302805,0.7932137390505428,1.435449039476988,17.25882261974138,14.50761415731917,14.67942130093599,46.44585807799654
2021ABI,output_2021_05_21_ABI_S9,output_2021_05_21_ABI_S9__bot1_2021_05_21_13_08_36,7,103.0,0.35,lsa,5253.0,321.0,60.172717569133226,0.5842011414478954,0.18745394881349914,0.5842011414478954,0.5842011414478955,0.8128647087663405,0.5051416081435267,8.674809346314703,8.561914443380378,7.66335490724854,24.90007869694362
2021CMC,output_2021_10_07_CMC_S1,output_2021_10_07_CMC_S1__2021_10_07_11_31_22,8,239.0,0.35,lsa,28441.0,2770.0,518.2801875053768,2.168536349394882,0.18710476083226601,2.168536349394883,2.168536349394883,0.8070742381271445,3.3832960616873504,31.837775624432602,29.18946615319328,31.352974406029386,92.38021618365526
2021CMC,output_2021_10_07_CMC_S2,output_2021_10_07_CMC_S2__B1_Zoom_Meeting_Room_1_2021_10_07_12_36_41,8,147.0,0.35,lsa,10731.0,1081.0,192.288662340466,1.3080861383705171,0.1778803536914579,1.308086138370517,1.308086138370517,0.7224209336423596,1.572572071630687,17.567668116184052,19.56616839203705,17.52917538974307,54.66301189796417
2021CMC,output_2021_10_07_CMC_S3,output_2021_10_07_CMC_S3__B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55,7,159.0,0.35,lsa,12561.0,803.0,133.535195416919,0.8398439963328239,0.1662953865715056,0.8398439963328239,0.8398439963328241,0.7989634801178587,1.2776740038514116,12.517529670005418,11.122808928223495,12.240175011731967,35.880513609960886
