n_bins,mean_entropy,purity_ratio,mixed_ratio,mean_jump,max_jump,n_transitions,entropy_trend,first_third_entropy,last_third_entropy,session_id,any_funded,funded_rate
11,0.3810055518228434,0.5454545454545454,0.45454545454545453,0.3932284150616106,1.0,5,0.6878910207824409,0.0,0.6878910207824409,2021_04_22_MND_S6,,
10,0.1811278124459133,0.8,0.2,0.4025062498798073,1.0,4,0.2028195311147832,0.0,0.2028195311147832,2021_04_23_MND_S10,,
9,0.4395121870385127,0.4444444444444444,0.5555555555555556,0.4100436862715794,0.9182958340544896,5,0.579089668665139,0.21667414054945136,0.7957638092145903,2021_04_23_MND_S13,,
8,0.49360874798120724,0.375,0.625,0.38297559997774544,0.9709505944546686,4,0.20106588788616542,0.4854752972273343,0.6865411851134997,2021_04_23_MND_S14,,
11,0.3517032165046055,0.5454545454545454,0.45454545454545453,0.4338722969548388,0.9602297178607612,6,0.0707385690539431,0.37507876963916104,0.44581733869310414,2021_04_23_MND_S15,,
8,0.6543384651216724,0.25,0.75,0.7166346879637719,1.0,6,0.2828742378869889,0.4772170014624824,0.7600912393494713,2021_04_23_MND_S4,,
8,0.3593093205679262,0.625,0.375,0.5513861000825231,0.9852281360342516,4,-0.17937668587583777,0.4854752972273343,0.3060986113514965,2021_04_23_MND_S8,,
5,0.2728359328593175,0.6,0.4,0.23833524821154817,0.7725068857142601,1,-0.5916727785823275,0.5916727785823275,0.0,2021_05_20_ABI_S1,,
11,0.5092433718896913,0.45454545454545453,0.5454545454545454,0.3557995379208931,1.0,3,0.9076816240829841,0.0,0.9076816240829841,2021_05_21_ABI_S1,,
12,0.469101247012653,0.4166666666666667,0.5833333333333334,0.3869009984130166,1.0,6,0.3200929325365204,0.5436054042507192,0.8636983367872396,2021_05_21_ABI_S10,,
12,0.45281283963143903,0.4166666666666667,0.5833333333333334,0.606153973393818,1.0,9,-0.3534542125759085,0.7309463657351127,0.37749215315920426,2021_05_21_ABI_S16,,
13,0.3226680689675059,0.5384615384615384,0.38461538461538464,0.39514570033259916,0.9182958340544896,6,-0.40862456369240024,0.6128755133502461,0.2042509496578459,2021_05_21_ABI_S5,,
7,0.4573210537613054,0.42857142857142855,0.5714285714285714,0.6781964441928734,1.0,5,-0.429738097556261,0.7358367089077575,0.3060986113514965,2021_05_21_ABI_S6,,
12,0.45833077805966965,0.5,0.5,0.5417379321584801,1.0,6,0.48979464507780224,0.1925988445506034,0.6823934896284056,2021_06_10_SLU_S7,,
9,0.33810804575837483,0.5555555555555556,0.4444444444444444,0.6153251365268717,1.0,6,0.07723142912208025,0.3333333333333333,0.41056476245541357,2021_06_11_SLU_S2,,
6,0.5500074738827848,0.3333333333333333,0.6666666666666666,0.4,1.0,3,0.5,0.32501121082417705,0.825011210824177,2021_06_11_SLU_S5,,
11,0.4333313216959429,0.5454545454545454,0.45454545454545453,0.8670168508744114,1.0,9,-0.12473315551364739,0.6210401895222103,0.4963070340085629,2021_10_01_MZT_S9,,
10,0.24866140897573336,0.7,0.3,0.3783233248679803,0.9182958340544896,4,0.012899817964171029,0.21667414054945136,0.2295739585136224,2021_10_07_CMC_S6,,
7,0.4127494897870226,0.5714285714285714,0.42857142857142855,0.9630821428363862,1.0,6,-0.1763498018484438,0.5,0.3236501981515562,2021_10_07_CMC_S7,,
8,0.24959895399770457,0.75,0.25,0.42811309028309097,1.0,3,-0.16506248265748497,0.4983958159908183,0.3333333333333333,2021_10_08_CMC_S10,,
9,0.2538527485996407,0.6666666666666666,0.3333333333333333,0.5082613925022359,0.9182958340544896,5,-0.1677527782585486,0.1677527782585486,0.0,2021_11_04_NES_S4,,
13,0.47660753163377545,0.46153846153846156,0.5384615384615384,0.3644652444338745,1.0,5,0.1293338035213596,0.6165809881813649,0.7459147917027245,2021_11_05_NES_S12,,
8,0.6999917944230334,0.25,0.75,0.5867168156564795,1.0,4,-0.21145293765448214,0.850884882339312,0.6394319446848299,2021_11_05_NES_S8,,
5,0.3348797386051528,0.6,0.4,0.8371993465128819,0.863120568566631,4,0.4315602842833155,0.0,0.4315602842833155,2022_04_07_MND_S3,,
5,0.506641243869299,0.4,0.6,0.6804820237218405,1.0,3,-0.22192809488736231,0.7219280948873623,0.5,2022_04_08_MND_S10,,
1,0.9182958340544896,0.0,1.0,0.0,0.0,0,0.0,0.9182958340544896,0.9182958340544896,2022_04_08_MND_S12,,
12,0.36679744319550395,0.5,0.5,0.4673583426878338,0.8112781244591328,7,-0.08504477141128591,0.41005598223546297,0.32501121082417705,2022_04_08_MND_S2,,
8,0.4070643191450749,0.5,0.5,0.2861086396933548,0.8112781244591328,2,0.603759374819711,0.0,0.603759374819711,2022_04_08_MND_S3,,
1,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,2022_04_08_MND_S6,,
10,0.22773474967236051,0.7,0.3,0.16812699891277613,0.7642045065086203,2,-0.37993608627966186,0.5424416916917504,0.16250560541208853,2022_04_08_MND_S9,,
